Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Dan200.Launcher.Main,GameUpdateStageExtensions,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\GameUpdateStage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Dan200.Launcher.Main,GameUpdatePromptExtensions,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\GameUpdatePrompt.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,Dan200.Launcher.RSS,RSSFile,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\RSS\RSSFile.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Download
Duplicate Abstraction,Dan200.Launcher.Interface.GTK,GTKInterface,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\GTK\GTKInterface.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  GTKInterface (D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\GTK\GTKInterface.cs' [13' 36])' WinFormsInterface (D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\WinForms\WinFormsInterface.cs' [13' 36])
Feature Envy,Dan200.Launcher.Interface.GTK,UpdateWindow,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\GTK\UpdateWindow.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: OnPromptChanged which is more interested in members of the type: GameUpdater
Feature Envy,Dan200.Launcher.Interface.GTK,UpdateWindow,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\GTK\UpdateWindow.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: OnDeleteEvent which is more interested in members of the type: GameUpdater
Feature Envy,Dan200.Launcher.Interface.WinForms,UpdateForm,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\WinForms\UpdateForm.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: OnPromptChanged which is more interested in members of the type: GameUpdater
Deficient Encapsulation,Dan200.Launcher.Main,Logger,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\Logger.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DebugBuild
Deficient Encapsulation,Dan200.Launcher.Main,Logger,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\Logger.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: DebugBuild
Deficient Encapsulation,Dan200.Launcher.RSS,RSSEntry,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\RSS\RSSEntry.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Title' Description' Link
Deficient Encapsulation,Dan200.Launcher.RSS,RSSChannel,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\RSS\RSSChannel.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Title' Description' Link
Insufficient Modularization,Dan200.Launcher.Util,KeyValuePairs,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Util\KeyValuePairs.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
Cyclically-dependent Modularization,Dan200.Launcher.Main,Program,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\Program.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.Main.Program' Dan200.Launcher.Interface.GTK.GTKInterface
Cyclically-dependent Modularization,Dan200.Launcher.Main,Installer,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\Installer.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.Main.Installer' Dan200.Launcher.Main.Logger
Cyclically-dependent Modularization,Dan200.Launcher.Interface.WinForms,WinFormsInterface,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\WinForms\WinFormsInterface.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.Interface.WinForms.WinFormsInterface' Dan200.Launcher.Main.Program
Cyclically-dependent Modularization,Dan200.Launcher.Main,Program,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Main\Program.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.Main.Program' Dan200.Launcher.Main.Installer' Dan200.Launcher.Main.Logger
Cyclically-dependent Modularization,Dan200.Launcher.RSS,RSSFile,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\RSS\RSSFile.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.RSS.RSSFile' Dan200.Launcher.Main.Installer' Dan200.Launcher.Main.Logger
Cyclically-dependent Modularization,Dan200.Launcher.Interface.GTK,GTKInterface,D:\research\architectureSmells\repos\dan200_IndieLauncher\IndieLauncher\Launcher\Interface\GTK\GTKInterface.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Dan200.Launcher.Interface.GTK.GTKInterface' Dan200.Launcher.Main.Program' Dan200.Launcher.Main.Installer
