Implementation smell,Namespace,Class,File,Method,Description
Complex Method,insitu.bus.code,saveSocialCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\saveSocialCliente.cs,ProcessRequest,Cyclomatic complexity of the method is 10
Complex Method,insitu.bus.code,updateCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\updateCliente.cs,ProcessRequest,Cyclomatic complexity of the method is 11
Complex Method,insitu.bus.code,savePerfilCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\savePerfilCliente.cs,ProcessRequest,Cyclomatic complexity of the method is 8
Complex Method,insitu.bus.code,createCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\createCliente.cs,ProcessRequest,Cyclomatic complexity of the method is 10
Long Statement,insitu.bus.code,AcknowledgePosition,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\AcknowledgePosition.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,AcknowledgePosition,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\AcknowledgePosition.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (SatelliteLogics.AcknowledgePosition (dynamic_obj.axis' int.Parse (dynamic_obj.mercante))); " is 133.
Long Statement,insitu.bus.code,AcknowledgeRutas,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\AcknowledgeRutas.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,AcknowledgeRutas,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\AcknowledgeRutas.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (SatelliteLogics.AcknowledgeRutas (dynamic_obj.axis' dynamic_obj.speed' int.Parse (dynamic_obj.cliente))); " is 148.
Long Statement,insitu.bus.code,buyPromocion,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\buyPromocion.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,buyPromocion,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\buyPromocion.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (ClientLogics.ComprarPromocion (int.Parse (id_promocion)' int.Parse (id_cliente))); " is 125.
Long Statement,insitu.bus.code,changePromocion,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\changePromocion.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,checkFollowMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\checkFollowMercante.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,checkFollowMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\checkFollowMercante.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (MerchantLogics.CheckFollower (int.Parse (id_mercante)' int.Parse (id_cliente))); " is 123.
Long Statement,insitu.bus.code,saveSocialCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\saveSocialCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
